,country,score,year,gdp_cap,social,health,freedom,trust,generosity,region
0,Afghanistan,2.523,2021,0.2114924181963289,0.0,0.14100087796312555,0.0,0.9824970828471411,0.2240963855421687,South Asia
1,Afghanistan,2.566900015,2020,0.19568589773025358,0.0033514174934213825,0.1592438832152645,0.0,0.9977009144823603,0.23733143867427786,South Asia
2,Afghanistan,3.2030000000000003,2019,0.19449776071657066,0.067396798652064,0.31638913234005256,0.0,0.05518763796909493,0.2791519434628975,South Asia
3,Afghanistan,3.6319999999999997,2018,0.12673267326732673,0.12971698113207547,0.25297619047619047,0.08583690987124465,0.0787746170678337,0.3193979933110368,South Asia
4,Afghanistan,3.7939999103546103,2017,0.18775416633410774,0.1269719845271558,0.19036148136839284,0.12073932498243821,0.13171829555911121,0.37212764093171813,South Asia
5,Afghanistan,3.36,2016,0.19270689475267155,0.09327620303230061,0.1831100412799966,0.21423011604868383,0.14077314384117495,0.38145197691866634,South Asia
6,Afghanistan,3.575,2015,0.19664085857640076,0.12905219127293474,0.2958790538892953,0.3496035715885506,0.1760975521371238,0.45873749811529374,South Asia
7,Albania,5.117,2021,0.5756185155626494,0.45000000000000007,0.7206672519754169,0.6853741496598641,0.9556592765460907,0.3108433734939759,Central and Eastern Europe
8,Albania,4.882699966000001,2020,0.5900091945779748,0.39999988300359035,0.7188828393479554,0.6663286413453399,0.9524323287650187,0.3001467930623707,Central and Eastern Europe
9,Albania,4.718999999999999,2019,0.5764555342290467,0.34625105307497883,0.7659947414548642,0.606973058637084,0.05960264900662253,0.31448763250883394,Central and Eastern Europe
10,Albania,4.586,2018,0.4158415841584158,0.34984276729559743,0.7837301587301588,0.5636623748211731,0.0700218818380744,0.2491638795986622,Central and Eastern Europe
11,Albania,4.64400005340576,2017,0.548117710847288,0.3154368423236399,0.770053294323941,0.559230180004195,0.08585730690883654,0.24020869925027183,Central and Eastern Europe
12,Albania,4.655,2016,0.5444295087803291,0.42393894832919227,0.7707746069954285,0.487298330031135,0.10492666415945844,0.20543850874089614,Central and Eastern Europe
13,Albania,4.959,2015,0.5575128663769445,0.5263412238172197,0.7932211655693733,0.5335433682230153,0.11619648131035856,0.179323516107956,Central and Eastern Europe
14,Algeria,4.887,2021,0.5401037509976059,0.6519230769230769,0.6155223880597014,0.16666666666666663,0.7817969661610267,0.26626506024096386,Middle East and North Africa
15,Algeria,5.005099773,2020,0.6142192167850098,0.6614921592059556,0.6215609595133058,0.12108378580086843,0.7576897865222603,0.20869102090905015,Middle East and North Africa
16,Algeria,5.211,2019,0.6116442738323736,0.6090985678180285,0.6879929886064856,0.1362916006339144,0.25165562913907286,0.12897526501766782,Middle East and North Africa
17,Algeria,5.295,2018,0.4470297029702971,0.6147798742138366,0.6815476190476191,0.07439198855507867,0.29540481400437635,0.09197324414715718,Middle East and North Africa
18,Algeria,5.872000217437741,2017,0.6060892882941545,0.6060406384038931,0.6504366428311038,0.32325657240833044,0.31465358766960616,0.08285252949951945,Middle East and North Africa
19,Algeria,6.355,2016,0.6041885330927259,0.7040633504048138,0.6524984427622756,0.2951811491650156,0.31980760475841724,0.08593282990325847,Middle East and North Africa
20,Algeria,5.605,2015,0.596657647826115,0.7429175777165131,0.6024481833699097,0.42672420229047525,0.3149607725897338,0.0982811479117455,Middle East and North Africa
21,Argentina,5.928999999999999,2021,0.6638068635275338,0.8365384615384616,0.7207023705004387,0.7585034013605442,0.8774795799299883,0.127710843373494,Latin America and Caribbean
22,Argentina,5.974699974,2020,0.6692793452058363,0.8535536433173107,0.7222044296998602,0.7512803269403024,0.8866854061785361,0.12302348077905204,Latin America and Caribbean
23,Argentina,6.086,2019,0.6692258477287268,0.8382476832350463,0.7721297107800175,0.746434231378764,0.11037527593818985,0.1166077738515901,Latin America and Caribbean
24,Argentina,6.388,2018,0.4935643564356436,0.8616352201257862,0.7380952380952382,0.7796852646638054,0.11816192560175055,0.10367892976588629,Latin America and Caribbean
25,Argentina,6.59899997711182,2017,0.6627031193562263,0.855668030827462,0.7321144300328457,0.7392339770331937,0.12866441106514775,0.13060530342728738,Latin America and Caribbean
26,Argentina,6.65,2016,0.6647761798663157,0.9010023156364622,0.7359769423241377,0.6715963770166996,0.14441519368183525,0.1340596064461822,Latin America and Caribbean
27,Argentina,6.574,2015,0.6704141133016059,0.8779985423202461,0.7678419897585954,0.6715243456318217,0.15372071533402185,0.14387847414183041,Latin America and Caribbean
28,Armenia,5.2829999999999995,2021,0.5690343176376695,0.6461538461538462,0.652396839332748,0.7534013605442177,0.6382730455075845,0.14457831325301204,Commonwealth of Independent States
29,Armenia,4.676799774,2020,0.525980980783975,0.570769131215867,0.6509169936869665,0.5453511994756784,0.8037779523110937,0.1881768225560039,Commonwealth of Independent States
30,Armenia,4.559,2019,0.5143953934740882,0.5206402695871944,0.7142857142857142,0.4484944532488115,0.14128035320088303,0.16784452296819788,Commonwealth of Independent States
31,Armenia,4.321000000000001,2018,0.36633663366336633,0.4858490566037735,0.6607142857142857,0.3361945636623748,0.06126914660831509,0.12876254180602006,Commonwealth of Independent States
32,Armenia,4.37599992752075,2017,0.4901920019905519,0.4883391470658802,0.671437106175398,0.26746150456074175,0.057449869168522044,0.09961885963639587,Commonwealth of Independent States
33,Armenia,4.36,2016,0.4864627641617717,0.5280073694707841,0.6765590852943971,0.17189711293518253,0.07157419686862888,0.09507020775640165,Commonwealth of Independent States
34,Armenia,4.35,2015,0.486184384706285,0.5047691478911178,0.7119239209948792,0.2963433025248981,0.07066369516769039,0.09869578328391214,Commonwealth of Independent States
