,country,2021,2020,2019,2018,2017,2016,2015
62,Ivory Coast,5.306,5.233300208999999,4.944,4.671,4.17999982833862,3.916,3.655
63,Jamaica,6.309,5.889800072000001,5.89,5.89,5.31099987030029,5.51,5.709
64,Japan,5.94,5.870800018,5.886,5.915,5.92000007629395,5.921,5.987
65,Jordan,4.395,4.6333999630000005,4.906000000000001,5.1610000000000005,5.33599996566772,5.303,5.192
66,Kazakhstan,6.152,6.0578999520000005,5.809,5.79,5.8189997673034695,5.919,5.855
67,Kenya,4.607,4.583000183,4.509,4.41,4.55299997329712,4.356,4.419
68,Kosovo,6.372000000000001,6.325200081,6.1,5.662000000000001,5.27899980545044,5.401,5.589
69,Kuwait,6.106,6.102099895,6.021,6.082999999999999,6.10500001907349,6.239,6.295
70,Kyrgyzstan,5.744,5.541500092000001,5.261,5.131,5.0040001869201705,5.185,5.2860000000000005
71,Laos,5.03,4.888599873,4.796,4.623,,4.876,4.876
72,Latvia,6.032,5.949999809,5.94,5.933,5.849999904632571,5.56,5.098
73,Lebanon,4.584,4.771500111,5.197,5.358,5.22499990463257,5.129,4.839
74,Lesotho,3.512,3.652800083,3.802,3.808,3.80800008773804,,4.898
75,Liberia,4.625,4.557899952,3.975,3.495,3.532999992370609,3.622,4.571000000000001
76,Libya,5.41,5.488800049,5.525,5.566,5.525000095367429,5.615,5.754
77,Lithuania,6.255,6.215499877999999,6.149,5.952000000000001,5.90199995040894,5.813,5.832999999999999
78,Luxembourg,7.324,7.237500191,7.09,6.91,6.86299991607666,6.871,6.946000000000001
79,Madagascar,4.208,4.165599823,3.933,3.774,3.64400005340576,3.695,3.681
80,Malawi,3.6,3.538000107,3.41,3.587,3.97000002861023,4.156000000000001,4.292
81,Malaysia,5.384,5.384300232,5.339,6.322,6.08400011062622,6.005,5.77
82,Maldives,5.198,5.197599888,,,,,
83,Mali,4.723,4.729300021999999,4.39,4.447,4.19000005722046,4.073,3.995
84,Malta,6.602,6.772799968999999,6.726,6.627000000000001,6.52699995040894,6.488,6.3020000000000005
85,Mauritania,4.227,4.374599934,4.49,4.356,4.29199981689453,4.2010000000000005,4.436
86,Mauritius,6.049,6.101299762999999,5.888,5.891,5.62900018692017,5.648,5.477
87,Mexico,6.317,6.465000152999999,6.595,6.488,6.57800006866455,6.778,7.187
88,Moldova,5.766,5.607500076,5.529,5.64,5.837999820709231,5.897,5.888999999999999
89,Mongolia,5.6770000000000005,5.456200123,5.285,5.125,4.95499992370605,4.907,4.874
90,Montenegro,5.581,5.54610014,5.523,5.347,5.23699998855591,5.1610000000000005,5.192
91,Morocco,4.918,5.094799995,5.207999999999999,5.254,5.2350001335144,5.151,5.013
92,Mozambique,4.794,4.623600006,4.466,4.417,4.550000190734861,,4.971
93,Myanmar,4.426,4.308000088,4.36,4.308,4.54500007629395,4.395,4.307
94,Namibia,4.574,4.571100235,4.638999999999999,4.441,4.57399988174438,4.574,
95,Nepal,5.269,5.137199879,4.913,4.88,4.961999893188481,4.793,4.513999999999999
96,Netherlands,7.463999999999999,7.448900223,7.487999999999999,7.441,7.3769998550415,7.338999999999999,7.377999999999999
97,New Zealand,7.277,7.299600123999999,7.307,7.324,7.31400012969971,7.334,7.286
98,Nicaragua,5.972,6.13710022,6.105,6.141,6.07100009918213,5.992000000000001,5.827999999999999
99,Niger,5.074,4.909599781,4.628,4.166,4.02799987792969,3.856,3.845
100,Nigeria,4.759,4.724100113,5.265,5.155,5.07399988174438,4.875,5.268
101,North Cyprus,5.5360000000000005,5.53550005,,,5.80999994277954,5.771,5.695
102,North Macedonia,5.101,,5.274,,,,
103,Norway,7.392,7.487999916000001,7.553999999999999,7.593999999999999,7.537000179290769,7.497999999999999,7.522
104,Pakistan,4.934,5.69329977,5.653,5.472,5.26900005340576,5.132000000000001,5.194
105,Palestinian Territories,4.517,4.552800179,4.696000000000001,4.743,4.77500009536743,4.754,4.715
106,Panama,6.18,6.304800033999999,6.321000000000001,6.43,6.4520001411438,6.7010000000000005,6.7860000000000005
107,Paraguay,5.653,5.692100048,5.742999999999999,5.681,5.493000030517581,5.537999999999999,5.877999999999999
108,Peru,5.84,5.796800137000001,5.697,5.662999999999999,5.71500015258789,5.742999999999999,5.824
109,Philippines,5.88,6.006000042,5.631,5.524,5.42999982833862,5.279,5.073
110,Poland,6.166,6.1862998010000005,6.182,6.122999999999999,5.97300004959106,5.835,5.791
111,Portugal,5.928999999999999,5.9109001160000005,5.693,5.41,5.19500017166138,5.122999999999999,5.102
112,Romania,6.14,6.123700142000001,6.07,5.945,5.824999809265139,5.528,5.124
113,Russia,5.477,5.546000004,5.648,5.81,5.962999820709231,5.856,5.716
114,Rwanda,3.415,3.312299967,3.334,3.408,3.47099995613098,3.515,3.465
115,Saudi Arabia,6.494,6.406499863,6.375,6.371,6.343999862670901,6.379,6.4110000000000005
116,Senegal,5.132000000000001,4.980800152,4.681,4.631,4.53499984741211,4.218999999999999,3.904
117,Serbia,6.077999999999999,5.77820015,5.603,5.398,5.39499998092651,5.1770000000000005,5.122999999999999
118,Sierra Leone,3.849,3.926399946,4.374,4.571000000000001,4.70900011062622,4.635,4.507
119,Singapore,6.377000000000001,6.377099991000001,6.2620000000000005,6.343,6.57200002670288,6.739,6.797999999999999
120,Slovakia,6.331,6.280600071,6.198,6.172999999999999,6.09800004959106,6.077999999999999,5.995
121,Slovenia,6.461,6.363399982000001,6.117999999999999,5.948,5.75799989700317,5.768,5.848
122,South Africa,4.956,4.814099789,4.722,4.724,4.8289999961853,4.459,4.642
123,South Korea,5.845,5.872399807000001,5.895,5.875,5.837999820709231,5.835,5.984
124,Spain,6.4910000000000005,6.4008998870000005,6.354,6.31,6.40299987792969,6.361000000000001,6.329
125,Sri Lanka,4.325,4.327000141,4.3660000000000005,4.471,4.44000005722046,4.415,4.271
126,Swaziland,4.308,4.308100224,4.212,,,,4.867
127,Sweden,7.362999999999999,7.353499889,7.343,7.314,7.28399991989136,7.291,7.364
128,Switzerland,7.571000000000001,7.559899807000001,7.48,7.487,7.49399995803833,7.508999999999999,7.587000000000001
129,Taiwan Province of China,6.584,6.45539999,,,6.42199993133545,,
130,Tajikistan,5.466,5.555699825,5.4670000000000005,5.199,5.04099988937378,4.996,4.7860000000000005
131,Tanzania,3.623,3.476200104,3.2310000000000003,3.303,3.34899997711182,3.666,3.781
132,Thailand,5.985,5.9987998010000005,6.007999999999999,6.072,6.423999786376951,6.474,6.455
133,Togo,4.107,4.187200069,4.085,3.999,3.4949998855590803,3.303,2.839
134,Tunisia,4.596,4.392199993,4.461,4.592,4.80499982833862,5.045,4.739
135,Turkey,4.948,5.131800175,5.372999999999999,5.483,5.5,5.388999999999999,5.332000000000001
136,Turkmenistan,5.066,5.119100093999999,5.247000000000001,5.636,5.82200002670288,5.658,5.547999999999999
137,Uganda,4.636,4.43200016,4.189,4.1610000000000005,4.08099985122681,3.739,3.931
138,Ukraine,4.875,4.56069994,4.332,4.103,4.09600019454956,4.324,4.681
139,United Arab Emirates,6.561,6.790800095,6.825,6.774,6.6479997634887695,6.573,6.901
140,United Kingdom,7.064,7.164500237,7.053999999999999,7.19,6.71400022506714,6.725,6.867000000000001
141,United States,6.9510000000000005,6.939599991000001,6.892,6.886,6.993000030517581,7.104,7.119
142,Uruguay,6.431,6.440100192999999,6.292999999999999,6.379,6.4539999961853,6.545,6.485
143,Uzbekistan,6.178999999999999,6.257599831,6.174,6.096,5.97100019454956,5.987,6.002999999999999
144,Venezuela,4.892,5.053199768,4.707,4.806,5.25,6.084,6.81
145,Vietnam,5.4110000000000005,5.353499889,5.175,5.103,5.07399988174438,5.061,5.36
146,Yemen,3.658,3.527400017,3.38,3.355,3.59299993515015,3.724,4.077
147,Zambia,4.073,3.759399891,4.107,4.377,4.513999938964839,4.795,5.129
148,Zimbabwe,3.145,3.2992000580000003,3.663,3.692,3.875,4.1930000000000005,4.61
